review_text,stars,date
Love the new phone. Battery life is amazing. Goes almost 2 days. Takes great photos too.,"Rated 5.0 out of 5,",Review submitted a week ago
I ordered my new iPhone 17 pro max with a trade in on line and I never got anything from Verizon to actually do the trade in. Yes I followed the instructions as I was ordering the new phone to trade in my old iPhone 15 pro max.,"Rated 1.0 out of 5,",Review submitted 2 weeks ago
"I got this phone this morning and I like it, as usual no major changes but slightly lighter in weight as compared to 16 pro max","Rated 5.0 out of 5,",Review submitted 3 weeks ago
The phone has a lot more features then I expected overall it’s pretty good phone,"Rated 5.0 out of 5,",Review submitted 4 days ago
"Performance:good
Quality:good

Trusted seller item safely arrived
Not expected so fast can get it.","Rated 5.0 out of 5,",Review submitted a week ago
"So far my iPhone 17 pro max has out done itself. Features are amazing, camera is great. I’m loving it.","Rated 5.0 out of 5,",Review submitted a week ago
Love my new iPhone 17 PRO MAX. The pre-ordering and setup were both very easy; no hassle.,"Rated 5.0 out of 5,",Review submitted 2 weeks ago
"I hope Apple does not go pear-shaped with this review!

The short answer is a medium sized ""no"", if your iPhone 14 is still working well - particularly its battery! But a big ""Yes"", if your battery is playing up!

If you are a regular everyday user and do not get carried away with necessity to have the latest processor etc and just want a phone which will be compatible with everyday use requirements of this strange 21st Century, I would suggest you stay with your iPhone 14 and wait for the Big Leap in Mankind type of affair which will most likely come with iPhone 18 next year!

However, I personally have no regrets for upgrading my iPhone 14 Pro Max to the 17 because the battery was getting weak and did not hold well with use of IOS26. And it is here that I would STRONGLY ...","Rated 4.0 out of 5,",Review submitted 3 weeks ago
"Amazing cellphone! First, the orange color is spot on I just love the look. This is the best iPhone I have owned and I have been buying them since the iPhone 4s. It's really fast and feels good in my hand. The screen is awesome and looks great outside in the sunlight. The battery life is fantastic. It lasts me with hard use, 2 days! I can't really say anything negative about this iPhone. So far, so good!","Rated 5.0 out of 5,",Review submitted 2 weeks ago
"I love the new iPhone 17 Pro Max, it has been a pleasant experience upgrading from my iPhone 15 Pro Max. There isn’t a laundry list of differences, but it feels well done and offers a polished experience. The camera looks great, battery life has been good, and the design makes the phone much more comfortable to hold (even with a case). I am happy with the design refresh, as it is the only real refresh we’ve had since the 11 Pro series, and the aluminum paired with the vapor chamber has made this phone run much cooler and smoother. Overall I am very pleased with this new generation of iPhone, and I have no regrets upgrading.","Rated 5.0 out of 5,",Review submitted a week ago
"I just got it today. Very nice design and feel with the big bump, which finally doesn’t rock on the table and has way better sustained performance and battery life. With the vapor chamber cooling, it barely gets hot, unlike my 15 pro max which was burning to touch while charging, causing lower performance and battery life. A massive upgrade for people who want to play games, edit, or take photos with better sustained performance or for people who just want to look at it, as the new Pro is way more eye-catching rather than minimalistic because the orange colour is very bold and is finally a phone that’s different aesthetically.

Con’s:
Stock is scarce here in nz. Expect to wait until November if you didn’t get September batch
You need a screen protector and case as seen on ...","Rated 4.0 out of 5,",Review submitted a week ago
"I found the device to not be much of drastic change initially versus my 14 pro-max. It is clearly is faster, has a better image and sound, and features tremendously longer battery life. The beta 26 software is also pretty cool and very quick. I am not finding many issues so far other than difficulty in backing up the unit that appears to be more of security/beta 26 issue.

Overall, I am very pleased with my purchase.","Rated 5.0 out of 5,",Review submitted a week ago
"Very much enjoying my new iPhone 17 Pro Max. Loaded with features and in a powerful package. There are so many negative trolls out there that speak ill rhetoric. They are desperate. Ignore them. The phone is great. Solid, reliable, and with a good case it won’t scratch! If you bend it double, it may break. Duh! Get one and just enjoy all the features and technology!","Rated 5.0 out of 5,",Review submitted 6 days ago
"The iPhone 17 Pro Max just feels different the moment you pick it up—lighter in the hand thanks to titanium, but still solid and premium. The weight is balanced so it doesn’t feel bulky, even with its big screen. It’s smooth, fast, and effortless to use, whether you’re snapping photos, gaming, or just scrolling. Everything about it feels like Apple finally nailed power and comfort in one device.","Rated 5.0 out of 5,",Review submitted 2 weeks ago
"The I phone 17 pro max is a very good mobile phone that stays cool when gaming and has a great battery life and feels nice in your hand with more rounded edges.I upgraded from a 16pro max and definitely see and feel a difference but if your upgrading from an older generation it’s worth it,I’ve put a cheap thin see through case on it from day 1 and have had no problems no scratches or bends and I have sat on it a few times now (forgot it was in my back pocket)","Rated 5.0 out of 5,",Review submitted a week ago
